text,clean_text,sentiment,intent,topic
@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,I did it but there was a problem in the link from the email for checkin. thanks,Negative,Check-in,Feedback
@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,had to change to another airline to get to DC today ... Why is able to land in DC but not you? Cost me 800 ...ugh,Negative,Change,Flight Change
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,Negative,Cancellation,Flight Cancellation
@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love!,Positive,Feedback,Feedback
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,wish I can afford to fly with you next Friday going back home.. love everything about your airline,Positive,Feedback,Feedback
@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas?,Negative,Inquiry,General Inquiry
"@VirginAmerica it’s just a bug report, guys","its just a bug report, guys",Negative,Complaint,Feedback
@VirginAmerica hold times at call center are a bit much,hold times at call center are a bit much,Negative,Change,Complaints
@VirginAmerica Like http://t.co/VPqEm31XUQ,Like,Positive,Support,Feedback
@VirginAmerica Site down? #help,Site down?,Negative,Change,Suggestions
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,You have the best flight attendant ever!!!,Positive,Feedback,Feedback
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy","Awesome! RT Watch nominated films at 35,000 feet.",Positive,Feedback,Feedback
@VirginAmerica thanks so much!,thanks so much!,Positive,Feedback,Feedback
"@VirginAmerica Trying to reset my password, email never arrives. Help?","Trying to reset my password, email never arrives. Help?",Negative,Security,Complaints
"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",", the only airline based in Silicon Valley! s",Positive,Change,Flight Seating
@VirginAmerica Very nicely done. 👏,Very nicely done.,Positive,Change,Feedback
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),Im looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink!,Positive,Reschedule,Flight Amenities
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,What is the reason for the delay of the departure of VX 413 from JFK this afternoon?,Positive,Inquiry,Flight Delay
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?","is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",Negative,Cancellation,Flight Cancellation
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,hahaha YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!,Positive,Change,Feedback
@VirginAmerica sounds like fun !,sounds like fun !,Positive,Change,Feedback
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,any updates on flight 413 from Jfk gt Lax,Positive,Information,Flight Status
@virginamerica spruce moose!,spruce moose!,Positive,Change,Feedback
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.","the CSS on your site is a 404 right now, please fix. Site unusable.",Negative,Complaint,General Inquiry
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?","Were on flight 910 Vegas to Boston today, checked in online but our bag count didnt register. Can I fix that somehow?",Negative,Check-in,Flight Check-in
"@VirginAmerica classiq, luv Virgin America. Greetingz","classiq, luv Virgin America. Greetingz",Positive,Feedback,Feedback
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues","Hi, Im trying to do checkin but the website is not working. I tried 3 different browsers and the problem continues",Negative,Check-in,Technical Support
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Thanks for your great customer service today amp for helping me get all my travel sorted out!,Positive,Feedback,Customer Service
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,thanks guys! Sweet route over the Rockies,Positive,Feedback,Feedback
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,love the 90s music blasting at gate in while waiting for flight to . Only if I could get an iced coffee!,Positive,Boarding,Flight Boarding
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews","the passenger in 7D, Flt 338 that assaulted me shouldnt have flown. I trust hes banned. Crew filed report to",Negative,Information,Flight Status
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,current bug on website shows select departure city when selecting destination city,Negative,Change,Feedback
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,luggage was severely dentedmissing wheel coming off baggage claim in SAN. Luggage agent Miranda I think wasnt any help.,Negative,Change,Baggage Issues
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.","thank you for the easy itinerary shift for impending weather. Quick, painless amp free.",Positive,Change,Feedback
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh","If youd love to see more girls be inspired to become pilots, RT our free WOAW event March 28 at ABQ.",Positive,Change,Feedback
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,Thanks! Good times there and back! the entire flight,Positive,Feedback,Feedback
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G","beats expectations, shares take off Santa Cruz Sentinel",Positive,Change,Feedback
@VirginAmerica any plans to start flying direct from DAL to LAS?,any plans to start flying direct from DAL to LAS?,Positive,Inquiry,Suggestions
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,BIG Lovegratitude.mpower w weRin VIPswagbags,Positive,Rewards,Feedback
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",", youre doing a great job adding little luxuriesaesthetics that improve the air travel experience. Thank you. Keep it up!",Positive,Feedback,Feedback
@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member,Negative,Seating,Flight Seating
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,Grand Budapest Hotel,Positive,Support,General Inquiry
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,This is what you missed . Next trip to the 407.,Negative,Reschedule,Feedback
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,Positive,Safety,Flight Booking
@VirginAmerica there is something wrong with you website in Safari iPhone,there is something wrong with you website in Safari iPhone,Negative,Complaint,Complaints
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too,Positive,Support,Flight Amenities
@VirginAmerica Already checked in so the page expired :X,Already checked in so the page expired X,Negative,Check-in,Flight Booking
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,Negative,Seating,Flight Upgrade
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,shares rise on Q4 financial results USA TODAY,Positive,Change,Feedback
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,Adds Pillows Instead of LieFlat Seats in First Class Arms Race,Positive,Seating,Flight Amenities
@VirginAmerica I see what you did there ;),I see what you did there,Positive,Feedback,Feedback
@VirginAmerica way to take advantage of #MayweatherPacquiao :),way to take advantage of,Positive,Upgrade,Suggestions
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,you know Im flying virgin for the fight,Negative,Change,Flight Status
@VirginAmerica your inflight team makes the experience #amazing!,your inflight team makes the experience !,Positive,Support,Flight Seating
@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,cutest salt and pepper shaker ever. Just when I think you guys cant get any better you just do!,Positive,Upgrade,Feedback
"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",moved my seat with no notice. Better seat is cabin select not behind the row I selected,Neutral,Change,Flight Change
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,shares up on 4Q results,Positive,Change,Feedback
@VirginAmerica fav airline,fav airline,Positive,Amenities,Flight Seating
@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),we have a hot female pilot! Sweet! DCA to SFO!,Positive,Change,Flight Status
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,When are you guys going to start flying to Paris? Youre welcome.,Positive,Change,Feedback
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,what is your policy on flying after surgery? I am still waiting for answer so I can tell me doctor.,Negative,Inquiry,Flight Policies
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,already contacted Central Baggage amp sent DM. is charging me for the dress that was in the lost suitcase,Negative,Change,Baggage Issues
@VirginAmerica Thank you!!,Thank you!!,Positive,Rewards,Feedback
@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,Is there anything going on with the website? Ive been getting a lot of errors past 30 minutes.,Neutral,Inquiry,General Inquiry
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,I think i left something on the plane yesterday. who do i call...ah!,Negative,Change,Baggage Issues
@VirginAmerica I need you to follow back in order to DM.,I need you to follow back in order to DM.,Positive,Reschedule,Suggestions
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,Need to start flying to .,Negative,Reschedule,Flight Status
@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,they told to check with the airline regulation first so that is why I contacted you.,Negative,Regulations,Feedback
@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,I have just checked in flight to SFO from LAX amp been told as Atlantic Flying Club Gold I get no benefits?!,Negative,Check-in,Flight Check-in
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,husband and I ordered three drinks via my screen and they never came. Awesome!,Positive,Cancellation,Feedback
@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence,Negative,Safety,Flight Safety
@VirginAmerica what is your policy on flying after surgery?,what is your policy on flying after surgery?,Negative,Policies,Flight Policies
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,posts second consecutive fullyear net profit,Positive,Change,Feedback
"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!","Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",Negative,Check-in,Feedback
@VirginAmerica would love to do more for virgin just like I do for @GoPro,would love to do more for virgin just like I do for,Positive,Support,Feedback
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,Results Handily Exceed Forecasts,Positive,Change,Feedback
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.","I applied for a position in ,and I was wondering if you guys received my application.",Positive,Inquiry,General Inquiry
@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,achieves a second year of profitability despite revenue pressure ...,Positive,Change,Feedback
"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ","gives positive outlook, but sees increased competition",Positive,Feedback,Feedback
@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,Im trying to check into my 1050AM CT flight tmm on the desktop website and its not working some sort of caching bug SOS,Negative,Check-in,Flight Check-in
@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,weather delays gt next few weeks,Negative,Change,Complaints
@VirginAmerica @madbee95 check the website before you go to the airport!,check the website before you go to the airport!,Positive,Information,Flight Reschedule
@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,Do you guys know your checkin links from emails are broken?,Negative,Check-in,Complaints
@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,pilot says we expect a choppy landing in NYC due to some gusty winds wa temperature of about 5 degrees amp wthe windchill 8,Negative,Information,Flight Status
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,loved it. Cant wait for Mondays return flight... Mostly just to watch the inflight safety video again.,Positive,Safety,Flight Safety
"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff","lost my luggage 4 days ago on flight VX 112 from LAX to IAD amp Im calling every day, no response.Please give me back my stuff",Negative,Complaint,Baggage Issues
@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,Negative,Booking,Flight Booking
@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,Positive,Inquiry,General Inquiry
"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!","I mean. Probably inappropriate while on board.. But, its on!",Negative,Boarding,Feedback
@VirginAmerica happy to spend the day together. Let's do this!,happy to spend the day together. Lets do this!,Positive,Change,Suggestions
@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,is saving my sanity right now,Positive,Safety,Feedback
@VirginAmerica missed my flight. How does standby work?,missed my flight. How does standby work?,Negative,Reschedule,Flight Seating
.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps,. They were very understanding and helped me out. Thx!,Positive,Support,Customer Service
@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS,brought it all the way across the country today I see,Positive,Change,Feedback
@VirginAmerica thank you! I absolutely will 😎,thank you! I absolutely will,Positive,Feedback,Feedback
@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD,Looks like a broken link for your assets,Negative,Amenities,Complaints
@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘,are you ready!? Lets say it together.. Noooo turbulence today!,Negative,Change,Flight Change
@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,the manage itinerary section of your website seems to be broken for me,Negative,Complaint,Feedback
"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW","cant check in, your site looks like this every time it loads",Negative,Cancellation,Flight Reschedule
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,can u help this needs urgent treatment in2y old battling cancer could u help with flights,Positive,Complaint,Flight Status
@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,may start service to Hawaii from this year,Positive,Change,Flight Status
@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW,Other carriers are less than half price for a round trip fare. I am stunned.,Positive,Discounts,Flight Discounts
@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,WTF is happening in PDX Late Flight March such that one way from SFO is 550?,Negative,Change,Flight Change
@VirginAmerica add DTW and I'm sold!,add DTW and Im sold!,Positive,Discounts,Lost and Found
@VirginAmerica How about some free drinks on the flight back for the free promo?,How about some free drinks on the flight back for the free promo?,Positive,Promotions,Flight Promotions
@VirginAmerica @SSal thanks!,thanks!,Positive,Feedback,Feedback
@VirginAmerica momma I made it! 😁😁😁,momma I made it!,Positive,Change,Feedback
@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 9143290185.,Positive,Refund,Flight Seating
@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,help. I was On Flight 27 from JKF tonight. seat 7C left portfolio. Need it back!!,Negative,Seating,Flight Seating
@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair,Seattle bound. Wifey got me the duffle for vday. Shes a keeper!!! Holla!!!,Positive,Change,Flight Boarding
"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.","my luggage is gone. Ive filed my paperwork, promised a callemail. Still no resolution or response from central luggage.",Negative,Change,Baggage Issues
@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,Debbie Baldwin gave a performance of the safety demo this evening on VX919,Neutral,Safety,Feedback
@VirginAmerica Thanks!,Thanks!,Positive,Feedback,Feedback
@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,thanks for taking care of on her flight!!,Positive,Feedback,Feedback
@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,Thanks for the lovely soft views! to,Positive,Feedback,Feedback
@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,I requested a mileage challenge for status several weeks ago online but havent heard back. How do I get help with this?,Negative,Information,Feedback
"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)","Just trying to book tickets to NYC and facing super fun broken styling. Dont worry, Ill keep trying",Negative,Booking,Flight Booking
"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd",Many Thanks for the Follow. Looking for Any Help,Positive,Support,General Inquiry
"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd","Nice, Lofty View .",Positive,Amenities,Feedback
@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly,Negative,Information,Flight Status
@VirginAmerica is my new go to airline,is my new go to airline,Positive,Change,Flight Booking
"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer",Can You Help in need of some help in,Positive,Inquiry,General Inquiry
"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.","I adore you, and am so looking forward to my flight to Austin in two weeks.",Positive,Support,Flight Seating
@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,Positive,Change,Flight Seating
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,Flight Booking Problems flight to uphold my status match. Do taxes on ticket count as earned status points?,Negative,Booking,Flight Booking
@VirginAmerica trying to check-in...but looks like your site is down?,trying to checkin...but looks like your site is down?,Negative,Check-in,General Inquiry
"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!","spending my birthday night with you, DALDCA. Get me home!",Positive,Discounts,Customer Service
@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,Negative,Feedback,Feedback
"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!","first time flying Virgin, went to .Thanks for the smooth ride. Easily my new fav airline!",Positive,Change,Customer Service
"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???","seriously, though. will there not be direct flights from SFOFLL in may???",Negative,Inquiry,Suggestions
@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,Its fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,Positive,Feedback,Feedback
"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board","not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w nothing but empty cabin space on board",Negative,Check-in,Baggage Issues
"@VirginAmerica
wjere is our luggage #so slow at lax",wjere is our luggage slow at lax,Neutral,Complaint,Baggage Issues
@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,to jump into the market,Positive,Boarding,Suggestions
"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well","I spoke with a representative that offered no solution, I am a loyal customer who flies on as well",Negative,Complaint,Customer Service
@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,Negative,Complaint,Complaints
"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome","what happened to direct flights from SFOFLL? Looking in May, only see connecting",Negative,Change,Suggestions
@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo,.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo,Negative,Seating,Flight Seating
@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,partners with Checkout as mobile payment method to help boost mobile conversion rates,Positive,Support,Feedback
"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf","just promoting the product is all, had a problem with southwest and recommend noneother than the best!",Negative,Promotions,Feedback
"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!","love you guys, but pls get some direct routes LAS to AUS!",Negative,Complaint,Suggestions
@VirginAmerica i would like help with some flights please.,i would like help with some flights please.,Positive,Support,Feedback
Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,Bruh Turn down for what.,Negative,Change,Feedback
@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,of course! I work for and Im obsessed with the entire Virgin family!!,Positive,Support,Feedback
@VirginAmerica ok! first time flying with you tonight :),ok! first time flying with you tonight,Positive,Change,Flight Seating
@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!,Digging the swanky pink mood lighting during the flight from NYC to SFO. Just needs a cabaret singer. Think about it!,Positive,Change,Flight Amenities
"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114","Done, but I need the receipt ASAP. Could you please help? 000114",Positive,Information,Feedback
"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",I have 2d and 3d embossed badges and patches superior to the ones you are currently using.,Positive,Information,Feedback
@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.,on VX399 from JFK to LA dirty plane not up to your standards.,Negative,Complaint,Flight Status
@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,on flight VX399 headed to LA from JFK dirtiest VA plane I have ever been on. Sad for a great airline.,Negative,Complaint,Complaints
@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉,got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner.,Positive,Information,Feedback
@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!,your Avis rental continue button doesnt work on your website to book car. Tried 4 times on phone. This sucks!,Negative,Complaint,Complaints
@VirginAmerica delayed to10.30!!,delayed to10.30!!,Negative,Reschedule,Flight Reschedule
@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?,currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?,Negative,Support,Customer Service
"@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race 
http://t.co/SfjDuahx9Z by @skift",Adds Pillows Instead of LieFlat Seats in First Class Arms Race by,Positive,Seating,Flight Amenities
“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!,Of course. Have fun celebrating! Thanks! Happy Chinese New Year!,Positive,Support,Feedback
@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,Flight Booking Problems last second flight for next week from SFO to SAN any chance you want to gift me a promo code since I love you guys,Negative,Booking,Flight Booking
@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,Comenity Bank is a joke! Please change. Nothing but constant problems with this bank,Negative,Change,Complaints
"@VirginAmerica I just did, how can I DM? Do u have to also add me?","I just did, how can I DM? Do u have to also add me?",Negative,Inquiry,Feedback
"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.","For my Grandma Ellas 80th, she would lt3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",Positive,Change,Feedback
@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,Just bought tix for ATX Dallas route thanks for adding that! Love yr airline amp yr website is BEST transactional site EVER,Positive,Feedback,Feedback
"@VirginAmerica Anytime, sugafly.","Anytime, sugafly.",Neutral,Safety,General Inquiry
@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,gave a credit for my Late Flight flight yesterday. Great service !!!! Thats a Wow moment! Unexpected gesture!,Positive,Support,Flight Delay
@VirginAmerica I need a receipt for a flight change. Can you send one?,I need a receipt for a flight change. Can you send one?,Positive,Change,Flight Change
"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?",", I submitted a status match request a while back and still havent heard! Im flying on Monday. Can you look accelerate?",Negative,Boarding,Flight Status
@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,had me at their safety video . . . LOVED my first cross country flight.,Positive,Safety,Flight Safety
@VirginAmerica that doesn't look to fat to me! It looks yummy!,that doesnt look to fat to me! It looks yummy!,Positive,Feedback,Feedback
"@VirginAmerica CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",CEO says amp have strayed from low cost model.,Negative,Change,Complaints
@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,a brilliant brisk am in Boston in cue for vx363,Positive,Change,Flight Status
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,Atlantic ploughs a lone furrow in the,Negative,Change,Flight Status
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE,Atlantic ploughs a lone furrow in the,Negative,Change,Flight Status
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,Atlantic ploughs a lone furrow in the,Negative,Change,Flight Status
